premise,hypothesis,label
Seorang pria di panjat tebing merah.,Seorang pria terlalu lelah untuk terus mendaki.,1
Seorang anak kecil yang mengenakan kemeja pastel bergaris berhenti di trotoar sambil memakan es krim lembut dengan taburan pelangi di atasnya.,Es krim pada gambar adalah vanila.,1
"Sekelompok orang berdiri di sebuah pertemuan atau pekan raya, dengan berbagai bendera dari berbagai negara dipasang dan orang-orang duduk di dekatnya.",Sekelompok orang sedang makan hot dog di pameran.,2
Seorang pria berdiri di samping rak dengan topi tergantung di atasnya.,Pria itu sedang berdiri.,0
Seseorang melakukan perjalanan menyusuri jalan bersalju ke pegunungan.,Orang itu akan mendaki gunung.,1
Pria yang memakai topi hitam dengan tema natal.,Pria itu memakai topi hitam.,0
Seorang pria tua dengan celana biru duduk di seberang bangku dengan mata tertutup.,Seorang pria paruh baya sedang duduk di taman.,1
Seorang pria mengamati sebuah lukisan sementara orang lain mencoba membuat ulang lukisan yang sama.,Seseorang sedang menyalin lukisan.,0
Seorang pria yang mengenakan penutup kepala dan sarung tinju sedang berlatih dengan seorang wanita yang hanya mengenakan sarung tinju.,Seseorang sedang berlatih di gym.,1
Seorang petinju berbaju merah dengan tato yang rumit memberikan hook kanan ke kepala lawannya.,Petinju sedang bertarung.,0
Seorang pria dengan sweter hitam sedang berjalan di sepanjang rel kereta api.,Seorang teknisi sedang merawat trek.,1
"Seorang penari pita mengenakan pakaian neon merah muda dan hijau dengan hanya satu lengan kiri putih melompat tinggi ke udara melemparkan pita di hadapannya dalam bentuk ""c"".",Seseorang menggunakan pitanya untuk membuat bentuk.,0
Seorang wanita muda berjemur di laut.,Pria yang lebih tua berjemur.,2
Seorang anak laki-laki mengenakan sepatu tenis putih memegang poster.,Seorang anak laki-laki memegang poster.,0
Seorang wanita berjongkok di samping anjing terriernya untuk tersenyum pada seorang gadis kecil yang duduk di trotoar.,Seorang wanita membuat anjingnya menyerang seorang gadis kecil.,2
Seorang anak sedang melompat-lompat di atas trampolin yang ada di samping rumah.,Seorang anak sedang duduk di dalam ruangan.,2
Dua gadis pra-remaja mendengarkan musik di pemutar MP3 dengan headphone.,Pemutarnya adalah pemutar cd.,2
Sepasang kekasih sedang berfoto di samping sebuah bangunan besar.,Sepasang kekasih sedang berfoto di luar,0
Seorang gadis kecil mengenakan pakaian merah muda menyikat kuda.,Kuda itu milik gadis itu.,1
Seorang pria di dapur rumah membalik panekuk dengan sangat tinggi.,Pria itu ada di dalam rumah memasak pancake.,0
Seorang wanita berbaju oranye melihat ke atas.,Seorang wanita menatap sepatunya,2
Seorang pria Asia tidur di kursi di luar ruangan.,Seorang pria asia sedang tidur di luar,0
seorang pengendara bmx melompat dari tanjakan.,Seorang pengendara bmx melompat dari tanjakan dan jatuh.,1
Sekelompok pemain rugby sedang berjuang memperebutkan bola.,Sebuah kelompok sedang berjuang memperebutkan bola.,0
"Pria bermantel, syal, dan topi melukis gambar bangunan di atas kuda-kuda di jalanan.",Seorang pria sedang melukis gambar rumahnya sambil berdiri di luar dalam cuaca dingin.,1
Dua orang mengambil barang-barang mereka di depan kereta bawah tanah.,Dua orang dengan senang hati mengambil barang-barang mereka.,1
Dua wanita melihat ke kamera di depan foto.,Tidak ada yang melihat,2
seorang wanita berambut coklat mengenakan mantel hitam dengan kopi di tangannya,Brunette punya kopi.,0
Tiga orang berjalan menyusuri trotoar di jalan kota yang kosong.,orang-orang berjalan di jalan larut malam,1
Seorang wanita berbaju putih sedang mengendarai kendaraan berwarna merah yang ditarik oleh dua ekor kuda krem.,Seorang wanita mengendarai kendaraan yang ditarik oleh kuda.,0
Sekelompok pria berkumpul di hutan.,Seseorang sedang duduk di atas pohon.,1
Pemandu wisata mengenakan kemeja dan topi gelap sambil menunjukkan tanda yang mencantumkan aturan kepada penumpang mudanya.,Pemandu wisata mengenakan kemeja dan topi gelap sambil menunjukkan tanda itu,0
"Seorang wanita tersenyum saat bermain ski, mengenakan topi musim dingin putih, mantel putih, dan tudung biru, sementara latar belakang salju.",Ada salju di tanah.,0
Orang-orang dengan cat tubuh menari.,Orang-orang sedang menonton pertandingan sepak bola di TV.,2
Seorang wanita paruh baya sedang berlibur memandang ke laut sementara teman seperjalanannya mengambil foto.,wanita mencari lumba-lumba,1
Seorang pria berdiri di papan di atas tangga besar.,Seseorang melihat seorang pria di tangga.,1
Seorang wanita berbicara ke mikrofon.,Seorang wanita memberikan pidato.,1
Seorang pria menggiring bola basket di lapangan basket seolah-olah dia akan mencari keranjang.,Seorang pria sedang bermain basket.,0
Di foto ini ada dua orang laki-laki satu berbaju biru bercelana biru bertopi putih dan berkacamata hitam satu lagi memakai celana yang digulung tepat di bawah lutut dan berkemeja hitam mereka berdua berada di atas perahu di laut sepertinya laki-laki berbaju hitam itu sedang mencari sesuatu sedangkan laki-laki bertopi itu sedang memegang tali putih di tangannya.,mereka berada di luar,0
Seorang pengendara sepeda motor trail dengan sepeda motor trail hijau menyemprotkan kotoran di samping kerumunan orang dalam perlombaan.,Pengendara sepeda duduk di tanah.,2
"Pejalan kaki berjalan di jalan yang ramai di kota Asia, dilihat dari belakang.",Dua pria sedang makan hot dog sambil menonton TV.,2
Wanita pirang yang mengendarai kereta sepeda merah memegang ujung topinya dan berpose di depan kamera dengan seorang pelanggan duduk di belakang.,Seorang wanita di gerbong mengabaikan juru kamera yang mencoba mengambil gambar kota.,2
Seorang pria melompat ke tempat tidur yang dipasang di jalan umum.,Seorang wanita tertidur di tempat tidur di jalan umum.,1
seorang wanita berbaju merah muda sedang berjalan di bawah jembatan layang.,Ada seorang wanita berjalan di luar.,0
Seekor anjing hitam dan cokelat dan anjing hitam dan putih sedang bermain bola di rerumputan.,Dua anjing sedang bermain dengan bola tenis.,1
Seorang wanita mengenakan celana hijau menyemprotkan air ke van chevy-nya.,Seorang wanita sedang mencuci vannya di luar.,1
"Seorang laki-laki dewasa muda, mengenakan kemeja hitam dan celana hitam, menyeimbangkan satu kaki di atas arsitektur modern.",Seorang laki-laki memakai pakaian serba hitam.,0
"Sekelompok orang dan seekor anjing duduk di bangku lapangan basket, menonton penampilan sekelompok orang lain di lapangan.",Beberapa anjing menonton pertandingan bola basket.,2
Seorang gadis kecil dengan kemeja biru berdiri di samping seorang pria berkacamata hitam di pantai.,Pria itu sendirian di pantai.,2
Seorang anak kecil menari di permukaan jerami.,Anak itu sedang menari.,0
Dua pria sedang menjual pohon Natal kecil di jalanan yang berantakan.,Para pria mendapatkan uang untuk Natal.,1
Dua orang membawa tas berjalan bersama.,Para wanita berjalan ke toko pakaian di ujung jalan.,1
Dua pria yang mengenakan celana renang melompat ke udara saat berada di pantai.,para wanita berada di luar,0
Anak-anak bermain sepak bola di lapangan belakang terbuka.,Anak-anak masuk ke dalam.,2
Seorang gadis kecil memeriksa seekor anjing yang berbaring di pantai.,seekor anjing di pantai diperiksa oleh seorang gadis muda,0
Dua orang berada di luar berjalan-jalan dengan anjing mereka.,Dua orang membawa anjing mereka dan diri mereka sendiri ke luar untuk berolahraga.,1
Seorang wanita yang tampak lapar sedang mencoba memutuskan apa yang akan didapat dari deli.,Dia suka berbelanja.,1
Seorang pria dengan topi bola hitam sedang duduk dan memperhatikan orang-orang di jalan.,Seorang pria dengan topi bola hitam sedang memperhatikan orang.,0
"Warga senior berkacamata, tidur siang di sofa cokelat.",Seseorang tidur siang di sofa kuning.,2
Empat pelari berlomba di jalan.,Para pelari sedang berkompetisi secara maraton.,1
Sekelompok siswa terlihat selama upacara kelulusan mereka.,Siswa dikumpulkan pada upacara tersebut.,1
Dua anak kecil sedang melompat ke kolam anak-anak mereka yang berisi air.,Anak-anak muda berayun di ayunan.,2
Wajan besar berisi sup mendidih di atas api unggun terbuka dan seorang wanita mengobrak-abrik kotak kardus di latar belakang.,Seekor beruang sedang makan sup.,2
Seseorang dan seekor banteng berdiri di dataran berumput dengan pepohonan di latar belakang.,Seseorang berdiri di dekat sapi di luar.,0
Seorang pria Afrika-Amerika sedang menguliti buah dengan parang.,Seorang pria menguliti buah.,0
Beberapa wanita sedang jalan-jalan.,Sekelompok wanita semuanya sedang bekerja di kantor.,2
Dua gadis dengan celana pendek denim berdiri di genangan air.,Dua gadis tidak memakai sepatu.,1
Orang-orang di Pasar Petani melihat pemilihan Buah Sayuran.,orang melihat sayuran yang mereka tanam,1
Pria yang mengenakan kulit binatang duduk di bangku hijau.,Seorang pria ada di bangku.,0
Dua gadis berjongkok di depan taman semak kecil.,Dua gadis ada di luar.,0
Seorang anak laki-laki berjalan melintasi struktur tali di taman bermain.,anak laki-laki melatih keterampilan berjalan di atas tali,1
"Seorang anak bertelanjang dada bermain ayunan ""kuda"" yang terbuat dari karet sambil memegang tangan seorang wanita.",Manusia kurus sedang bermain,1
Wanita di gerbong putih dengan dua gadis kecil berbaju putih memandangi kuda.,Ada seorang Wanita di kereta putih dengan dua gadis kecil berpakaian putih memandangi kuda-kuda itu.,0
Seorang pria dan seekor anjing berdiri di atas pesawat bersalju memandang ke kejauhan.,Ada salju di tanah.,0
"Pasar Timur yang ramai, dengan pria berseragam di tengah.",pasar sedang kosong,2
Konser musik live menjatuhkan confetti dari langit-langit sementara penonton bersorak gembira.,Orang-orang menikmati eh konser.,0
"Seorang gadis muda, dengan gaun oranye, memegang raket tenis.","Seorang anak laki-laki, dalam gaun oranye, memegang raket tenis.",2
Penonton menyaksikan mobil stok putih yang mengeluarkan asap dari belakang.,Ada balapan mobil yang sedang berlangsung.,1
Beberapa orang dewasa berbicara satu sama lain atau memeriksa materi yang dibagikan di stan pajangan yang dipartisi.,Orang-orang berkumpul di pameran 4H.,1
Seorang anak laki-laki dengan kaos kuning.,Seorang anak laki-laki mengenakan kemeja hitam.,2
Seorang pria berjaket merah dan seorang anak dengan mohawk menggali dengan sekop di sebuah taman dekat pantai.,Dua orang sedang berjalan di pantai.,2
Pekerja konstruksi meletakkan ubin dinding di lorong.,Lihatlah para imigran yang rajin bekerja di lantai ubin kami yang indah.,1
Seorang pekerja konstruksi memegang tanda tentang bersepeda.,Seorang pekerja konstruksi berdiri memegang tanda.,1
Seekor anjing berwarna terang melompat di lapangan.,Seekor anjing melompat.,0
Seorang penjaga sedang berbicara dengan pria lain di lift.,Penjaga sedang berbicara dengan seseorang.,0
Dua pria berjalan di jalan batu pada hari yang cerah.,Dua orang menikmati jalanan berbatu di siang hari.,0
Seorang laki-laki berpakaian bagus sedang mencoba menyeimbangkan diri di ujung ember buldoser.,Seorang pria mengendalikan derek di tempat kerjanya.,2
Sekelompok kecil orang berdiri melihat sesuatu di depan mereka.,Orang-orang menonton dengan takjub saat seseorang menghibur mereka.,0
Seorang anak laki-laki yang mengenakan kaos biru sedang bermain dengan truk sampah kuning di ruang tamu.,seorang gadis bermain dengan boneka,2
Enam musisi sedang memainkan gambang bersama-sama di tengah ruangan yang gelap.,Kamarnya cerah dan cerah.,2
Seekor anjing coklat dengan kerah hitam berlari melintasi pantai.,Seekor anjing coklat bermain di pantai.,0
Seorang anak Asia sedang menonton kembang api di malam hari.,Sebuah keluarga Asia berada di luar menonton pertunjukan kembang api.,1
Dua orang berdiri di tebing yang menghadap ke laut.,Orang-orang berpegangan tangan sambil menikmati pemandangan laut.,1
Sebuah tanda dengan kata asuransi yang ditulis dengan warna merah ditempelkan pada sebuah tiang.,Tanda itu tidak memiliki kata-kata di atasnya.,2
"Sebuah band, yang anggotanya mengenakan pakaian selam dan sirip, berjalan di jalan.",Band memainkan musik di atas panggung.,2
Seekor anjing berlari melewati hutan.,Seekor anak anjing berlari untuk menangkap tongkat.,1
dua gadis muda mengenakan seragam hijau dan kuning berdiri di depan satu sama lain.,Dua Pramuka berdiri dalam formasi.,1
Dua anjing berbulu putih ada di salju.,Dua hewan berada dalam bahan beku di tanah.,0
Seorang pria berbaju putih sedang berjalan di lapangan sepak bola di depan beberapa pemain.,Pria itu sedang melatih tim sepak bola.,1
Anak berdiri dan tampak bertekad di taman bermain,Seorang anak sedang berada di taman bermain.,0
Seorang pria dan wanita sedang menari di lantai dansa dan orang-orang menonton mereka dalam lingkaran lebar.,Pria dan wanita itu sedang duduk,2
Seorang pemuda dengan bodysuit sedang mengikuti kegiatan olahraga air.,Pria itu berada di dekat air.,0
Seorang pria duduk di tangga.,seorang pria sedang duduk,0
Kerumunan berkumpul di sekitar air mancur taman di tengah hujan.,Sekelompok orang sedang bermain di taman.,1
Seorang pria berbaju abu-abu sedang menyetel gitarnya.,Seorang pria meletakkan corong pada terompet.,2
Dua anak berdiri di bawah area yang diukir di pohon besar.,Anak-anak sedang duduk di tempat tidur.,2
Seorang pengiring pengantin yang mengenakan gaun merah sedang meletakkan sepatu pengantin di kakinya.,Seorang pengiring pengantin mencuri sepatu pengantin wanita.,2
Anak-anak bergiliran mengendarai kuda poni mini dengan pengawasan orang dewasa.,Orang dewasa yang mengawasi anak-anak sebenarnya adalah seorang petugas polisi.,1
Seorang pria berlari di pantai tanpa baju.,Pria itu terbakar matahari.,1
Sekelompok pria berpakaian aneh berbicara tentang hari mereka.,Kedua pria itu menyanyikan lagu yang sama.,2
Ada seorang wanita mengendarai sepeda dan seorang pria yang mengendarai alat transportasi pribadi Segway sambil membawa tiang yang digunakan penyandang tunanetra untuk membantu mereka mendeteksi hal-hal yang menghalangi jalan mereka.,Seorang wanita dan ayahnya melakukan perjalanan ke taman.,1
Dua anjing melompat ke dalam kolam renang mencoba mengambil mainan kuning yang mengambang di air.,Anjing-anjing itu tidak takut air.,0
Anak-anak berseragam berdiri di jalan dengan seekor anjing.,anak-anak bersama kucing,2
Dua anjing hitam memercikkan ombak di pantai.,anjing-anjing itu collie,1
Seorang koboi berkelahi dengan seekor kuda dalam rodeo saat kuda itu melakukan tendangan ke belakang,Kuda itu buang air besar.,2
Seorang anak laki-laki dengan Mohawk mengenakan kaus biru tua di tengah kerumunan orang.,Bocah itu memiliki kepala yang dicukur dan mengenakan tank top hitam.,2
Seorang wanita di luar menutupi wajahnya dengan kain.,Hujan api.,2
"Ada dua orang panjat tebing, satu di tanah sementara yang lain memanjat.",Seorang pria minum jus.,2
Dua pria berseragam polisi berjalan di pantai.,Dua pria sedang memancing di dermaga.,2
Seorang pria bertopi bisbol putih menurunkan spanduk yang tergantung di tangga darurat.,Pria itu ada di rumah sakit.,2
Dua anjing coklat bermain atau berkelahi.,ada dua anjing,0
"Seorang wanita, mengenakan baju renang hitam putih, sedang duduk di dekat tepi air.",Wanita mencoba menemukan kunci di pantai.,2
Seorang bayi berjalan di bawah terowongan yang ditopang oleh tiang-tiang.,Anak itu berjalan di bawah terowongan yang ditopang oleh tongkat.,1
Anak laki-laki bercelana renang melompat di pantai,Anak laki-laki itu sedang melompat.,0
Seorang gadis telanjang ditutupi desain bunga dicat mengendarai sepeda.,seorang gadis mengendarai sepeda untuk pulang.,1
Seorang pria dengan sepeda BMX melompati tanjakan dan melakukan trik.,Pria itu mengendarai sepeda BMX.,0
Seorang pria berbaju hijau di atas sepeda balap.,Seorang pria sedang mengendarai sepeda.,0
Bocah laki-laki berjaket hijau mengendarai gerobak Radio Flyer di sebuah taman.,Seorang anak berbaju hijau sedang mengendarai gerobak.,0
Seorang wanita dan beberapa anak berdiri di trotoar memandangi air mancur yang membeku.,Seorang wanita dan beberapa anak berada di luar ruangan.,0
Sekelompok teman menikmati waktu bersama di sana.,Sekelompok teman bosan saat menonton film yang buruk.,2
Tujuh pria memecahkan ubin dengan palu.,Tujuh pria sedang berbaring ubin di kamar mandi.,2
Pria setengah telanjang bersandar keluar jendela mengambil gambar.,Seorang pria yang agak telanjang sedang melakukan sesuatu.,0
"Seorang pria dengan janggut dan kacamata hitam, mengenakan pakaian kulit, mendekati sebuah sepeda motor di latar depan yang ekstrim.",Pria itu duduk diam.,2
Seorang wanita dengan pakaian serba hitam dan helm putih mengendarai sepeda dengan latar belakang pohon buram.,Seorang wanita mengendarai sepedanya di luar tanpa helm.,2
Seorang anak laki-laki bermain dengan truknya pada hari musim semi yang indah.,Seorang anak laki-laki sedang bermain dengan truk pemadam kebakaran pada hari musim semi.,1
Seseorang yang mengenakan kaus berkerudung di daerah berhutan.,Seorang pria dengan kaus berada di daerah berhutan.,1
Seorang anak laki-laki sedang melihat benda ungu aneh di rambut temannya.,Seorang anak laki-laki yang sedih sedang melihat benda ungu aneh di rambut temannya.,1
Seorang pria di jalan dengan kaos cerah memegang semacam tablet ke arah seorang wanita dengan kaos dan nuansa merah muda.,Pria itu menyerahkan ponselnya kepada wanita itu,2
Seorang pria memberi isyarat dengan tangannya di ruangan yang penuh dengan komputer.,Ruangan itu kosong.,2
Dua orang berciuman.,dua orang jauh melempar frisbee,2
Seorang pria dengan kaos hijau berdiri di pagar dengan seorang wanita dengan kaos abu-abu dan tato pergelangan tangan.,Wanita itu akan melewati pagar.,1
Seorang pria memainkan drum darurat di ember putih di salju.,pria itu memainkan drum,0
Orang-orang berjalan di trotoar di mana ada pasar luar ruangan.,Orang-orang berjalan melalui pasar,0
Seorang wanita dan pria menggendong bayi yang baru lahir dan balita.,Orang dewasa menggendong anak-anak.,0
Dua wanita menari di jalan dengan band di latar belakang dan pejalan kaki lewat,Dua wanita menari.,0
Spelunker berpose di dalam gua batu sambil bermandikan sinar matahari dari permukaan.,Para spelunker sedang mencari harta karun di dalam gua.,1
Seorang anak laki-laki mengendarai sepeda sementara seorang pria memegang sepeda.,Seorang anak laki-laki mengendarai sepeda menarik temannya ke atas bukit.,1
Sekelompok orang di luar setelah gelap menghadap ke saluran air.,Sekelompok orang akan melompat ke air setelah gelap.,1
Seorang anak laki-laki berjaket merah memegang tongkat dan berteriak.,Seorang anak memegang tongkat.,0
Seseorang yang mengenakan pakaian putih dengan rompi coklat berdiri di samping karpet tempat seorang pria berbaring di samping beberapa barang.,Seorang pria berdiri dan seorang pria sedang berbaring.,0
Band Lynyrd Skynyrd tampil di panggung yang memiliki lukisan pohon dengan latar belakang merah.,"Band ini bermain selama tur ""Rock All the Americas"" mereka.",1
Dua gadis membaca dari sebuah buku bersama-sama.,Dua gadis menonton TV bersama.,2
Seorang wanita tua berkacamata dan berkerudung.,seorang wanita tua mengenakan Oakley's dengan syal kuning,1
Sekelompok besar orang menunggu di stasiun kereta.,Kerumunan orang sedang menunggu kereta atau kereta api di stasiun.,0
Seorang wanita berambut merah yang mengenakan baret dan kacamata menunggu cuciannya mengering di binatu.,Seorang wanita melihat ke dalam pengering melihat pakaiannya kering.,1
Seorang pria dengan ranselnya berjalan menyusuri jalan sambil mendengarkan iPod-nya.,Seorang pria memakai headphone.,0
Dua pemain sepak bola berbaju hijau berusaha mengamankan bola sepak dari seorang pemain berbaju putih.,Dua pemain sepak bola mencoba untuk mendapatkan bola kembali dari tim lain,0
Seorang pria mengendarai pengendara ombak.,Seorang pria sedang membeli mobil baru.,2
"Sebuah truk tua reyot, penuh sesak dengan orang-orang, sedang berjalan menyusuri jalan pedesaan di sisi kiri.",Sebuah truk tua melaju di jalan dengan banyak pria di dalamnya.,0
Kru film ditempatkan di luar gedung deli.,Kru film akan membuat film drama di luar deli.,1
Seorang penyanyi wanita di atas panggung memainkan gitar dan bernyanyi.,Wanita itu sedang memainkan piano.,2
Seorang pria bernyanyi dan memainkan gitar ke mikrofon.,seorang pria yang memainkan musik,0
Seorang wanita duduk di bawah sinar matahari di atas bebatuan besar di tengah kolam.,Wanita itu tenggelam di air.,2
Seorang wanita bereaksi terhadap sesuatu yang tidak terlihat saat dia bersiap untuk berbaris di kolam renangnya.,Seorang wanita dikejutkan oleh seseorang yang berteriak ketika dia mencoba melakukan tembakan.,1
Seorang anak sedang menunggangi punggung seorang pria.,Seorang pria sedang menggendong seorang anak.,0
Seorang anak laki-laki sedang bermain di disk yang berputar di taman bermain.,Seorang anak laki-laki sedang bermain saat jam istirahat di sekolah.,1
Seorang anak laki-laki belajar dari ibunya cara mencampur cat menjadi warna merah.,Seorang anak laki-laki memperhatikan ibunya mengaduk ember berisi darah musuh mereka.,2
Seorang pria menyeret dengan wajahnya dicat naik sepeda.,Seorang pria berpakaian drag sedang mengendarai sepeda.,0
nomor lima belas berlari dengan bola lacrosse.,pemain 15 berlari mengelilingi halaman.,1
Seorang gadis kecil berambut pirang dengan gaun sedang bermain pasir di pantai.,Seorang gadis berpakaian sedang mempersiapkan pembangunan istana pasir.,1
Seorang wanita muda sedang melihat foto menggunakan mikroskop.,wanita berpose untuk foto di taman,2
Seorang pejalan kaki dengan kemeja hitam berdiri di depan gunung yang tertutup es.,Seorang pejalan kaki berdiri di depan gunung sambil memandang ke atas.,1
Seorang wanita dan anak menunggang unta di dekat laut.,Seorang wanita dan anak-anak sedang menunggang binatang.,0
"Dua anak bertopi sedang berdiri di tepi pantai, dan seorang wanita menggendong satu anak di lengan sementara yang lain sedang memancing.",Orang-orang berkumpul di luar ruangan.,1
Anak-anak berlarian di dalam pengadilan.,Anak-anak sedang bermain.,0
Sebuah restoran sushi dengan seorang pria memasak sementara di latar belakang adalah seorang pria dan anak laki-laki duduk di meja.,"Pria dan anak laki-laki itu tidak tahu tentang spesialisasi restoran, Long Pork.",2
Seorang gadis berambut merah dengan jaket biru kehijauan sedang berayun.,Seorang gadis berambut merah dengan jaket biru kehijauan sedang mengayunkan lengannya.,0
Seorang pria tua berjas mengunci sepedanya.,Pria tua itu mengunci sepedanya sebelum pergi ke toko.,1
Seorang pria hanya mengenakan celana pendek dan buaya hijau berdiri di atas jembatan yang tertutup salju.,Pria itu berlumuran madu,2
Anjing itu memiliki wajahnya di dalam tas hadiah Natal.,Tidak ada hadiah natal.,2
Seseorang dengan jet-ski terbang di udara.,Seorang manusia di jet-ski,0
Seorang anak sendirian berlari di trotoar yang teduh.,Seorang anak berjalan di trotoar beraspal.,0
Golf menghadap ke lapangan.,sebuah turnamen bola basket,2
Dua anjing kecoklatan sedang berkelahi.,Kedua anjing itu bertarung untuk wilayah yang sama.,1
Seorang wanita tersenyum dengan jaket hijau di pertemuan publik.,Seorang wanita bahagia tersenyum,0
"Banyak orang di luar, duduk di pinggir jacuzzi.",Semua orang berenang di kolam renang.,2
Tiga gadis muda berpartisipasi dalam pengajaran balet.,Gadis-gadis itu memakai baju ketat.,1
Beberapa pejalan kaki sedang berjalan di pasar oriental luar ruangan sementara sepeda motor kuning diparkir di tengah atau pasar.,Orang-orang berjalan di pasar luar.,0
Seorang pria di dekat taman bermain memegang tiga batang api.,Seorang pria memegang tongkat yang terbakar.,0
Seorang gadis sedang mengisi botol hijau berukuran dua liter dengan air di garasinya.,Seorang anak laki-laki menyemprotkan selang.,2
"Ada sekelompok orang di sebuah taman, beberapa dari mereka sedang membaca dan sisanya hanya nongkrong.",Ini sepulang sekolah.,1
Pasangan berciuman di samping rel kereta api.,Sepasang kekasih sedang berciuman di luar.,0
Seorang drummer dengan tergesa-gesa memainkan drum di atas panggung di Vans Warped Tour 2012.,Seorang drummer sedang bermain drum.,0
Pria bahagia memanggang daging di barbekyu.,Seorang pria marah saat memasak di panggangannya.,2
Seorang peselancar berada 90 derajat ke air,Peselancar itu basah.,0
Seorang anak kecil digantung terbalik di bahu orang dewasa.,Seorang anak sedang berlari bersama teman-temannya,2
Seorang pria melakukan trik dengan sepedanya di taman skate.,Pria itu adalah pengendara motor profesional.,1
Dua pemain terompet bermain di kota,Orang-orang memainkan alat musik,1
Seorang gadis dalam gaun putih melihat ke bawah saat dia berputar ke arah kamera.,Ada seorang gadis di foto itu.,0
"Sekelompok besar orang dengan 2 wanita di depan, satu dengan kemeja kuning dan rok dan yang lainnya dengan kemeja merah dan celana pendek putih.",Kedua wanita itu mengenakan kemeja dengan warna berbeda.,0
Pria dan wanita itu mengenakan jas hujan plastik pelindung.,Orang-orang terlindung dari cuaca.,0
Seorang anak kecil berjalan di langkan beton.,Seorang gadis kecil merangkak dengan tangan dan lututnya di sepanjang langkan berpasir.,2
wanita bertopi dan bertopeng di atas sepeda yang penuh dengan karpet dan barang lainnya.,Ada seorang wanita bertopi dan bertopeng.,0
Sekelompok orang melakukan perjalanan melalui garis di sepanjang sisi patung gorila.,Tidak ada orang di gambar yang mengantri.,2
Seorang pria berjaket hitam merogoh ember biru.,Seorang pria berjaket hitam sedang merogoh ember.,0
Seorang pengendara sepeda gunung melompati lereng di luar ruangan di kawasan hutan.,Seseorang sedang mencoba mempelajari trik baru di sepedanya.,1
Dua orang duduk di bangku.,Dua orang menghabiskan waktu bersama.,0
Seorang gadis di sebuah band memainkan seruling.,Seseorang sedang memainkan alat musik tiup.,0
Orang-orang duduk dan berbicara di langkan batu bangunan umum,Orang-orang berjalan di jalan.,2
Orang Asia berdiri di depan sekelompok orang memainkan instrumen gaya seruling.,Mothra memainkan bass.,2
Seekor anjing berlari di ombak.,Anak anjing sedang memancing ikan marlin dari dermaga.,2
Sepasang kekasih difoto dengan berciuman.,Pasangan itu hispanik.,1
"Seorang gadis duduk di tali kekang yang siap diangkat ke udara dan di belakangnya ada tanda bertuliskan ""aktif"".",Seseorang duduk di baju zirah di depan sebuah tanda,0
"Seorang anak laki-laki dengan topi bisbol merah, membuat wajah konyol pada pemain lain.",Seorang anak laki-laki sedang tidur.,2
Wanita kulit hitam dengan tas memanggil taksi.,Wanita itu meninggalkan pekerjaan.,1
Tiga petugas polisi di samping sepeda motor polisi.,Malaikat neraka sedang mengendarai sepeda.,2
Seorang gadis muda sedang menulis di selembar kertas dengan pensil ungu.,Seorang gadis menulis di selembar kertas.,0
gadis-gadis duduk dengan tangan di pangkuan mereka,kucing makan ikan,2
Seorang pria berjalan di samping van oranye.,Van berwarna oranye,0
Seorang wanita meluncur ke bawah seluncuran air ungu dengan anak laki-laki kecil di pangkuannya ke dalam kolam.,Seorang gadis sedang meluncur dengan seorang anak ke dalam kolam.,0
Tiga pria di kayak bertarung di air yang deras.,Laki-laki sedang berkayak di air yang deras di lautan.,1
Seorang wanita sedang berbaring di atas selimut merah di sebuah taman.,Wanita itu sedang berbaring.,0
tidur bayi laki-laki putih di sofa.,Seorang bayi Kaukasia menutup matanya.,0
Seorang wanita berambut abu-abu tanpa sepatu sedang duduk di atas selimut di bawah payung lavender di pinggir jalan.,Seorang pria berambut hitam sedang makan taco,2
Seorang pria berjaket kulit menunggu bersama yang lain di halte bus.,Pria itu sendirian,2
Seorang peselancar laki-laki keluar dari lautan dengan papan selancarnya.,Peselancar laki-laki sedang tidur di rumah.,2
Seorang anak laki-laki tersenyum sambil menunggang keledai.,Anak laki-laki itu sedang menunggang binatang.,0
Seorang wanita penari perut yang dengan senang hati bergerak.,Seorang wanita sedang menari,0
Seorang remaja memainkan terompetnya di lapangan pada sebuah pertandingan.,Remaja itu memainkan alat musik.,0
Seorang gadis memegang bola dan menunjuk ke frisbee.,Anak laki-laki itu menunjuk ke frisbee.,2
Dua anak laki-laki berdiri di dekat air mancur minum saat salah satunya minum.,Seorang anak laki-laki minum dari air mancur.,0
Seseorang berbaju hijau berselancar di ombak.,Seseorang berselancar di ombak.,0
Dua anak laki-laki dan seorang gadis kecil duduk di sofa ungu.,anak-anak di sofa ungu,0
Gadis berbaju merah muda tersenyum saat dia mengendarai ayunan hitam.,Gadis itu sedang menunggang kuda.,2
Seorang wanita berjalan di atas treadmill dengan mata tertutup.,Wanita itu ada di YMCA,1
Seorang pria yang mengenakan rompi konstruksi berwarna jingga cerah mencuci kereta hanya dengan scrubber bergagang panjang dan ember cuci,seorang kondektur mengendarai kereta melalui lapangan,2
Pria tanpa baju berjalan di belakang truk.,Seorang pria sedang berjalan.,0
Dua gadis berbicara sambil duduk di tangga.,Dua gadis sedang berbicara.,1
Seseorang bersarung berjalan menuju beberapa payung luar biru sambil membawa tas cokelat.,Orang itu berada di dekat payung.,0
